#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.93 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.55000,,,
1992.9865,-19.97000,,,
1993.0123,-15.63000,,,
1993.0407,-19.43000,,,
1993.0660,-23.96000,,,
1993.0974,-27.24000,,,
1993.1206,-25.13000,,,
1993.1493,-19.01000,,,
1993.1765,-15.94000,,,
1993.2037,-16.35000,,,
1993.2307,-19.77000,,,
1993.2851,-22.76000,,,
1993.3123,-16.28000,,,
1993.3394,-15.72000,,,
1993.3665,-12.62000,,,
1993.3937,-17.13000,,,
1993.4208,-21.53000,,,
1993.4480,-18.39000,,,
1993.4751,-13.66000,,,
1993.5021,-10.72000,,,
1993.5294,-11.99000,,,
1993.5837,-21.06000,,,
1993.6117,-18.42000,,,
1993.6381,-14.63000,,,
1993.6652,-11.22000,,,
1993.6923,-13.55000,,,
1993.7189,-20.07000,,,
1993.7466,-20.66000,,,
1993.7738,-15.97000,,,
1993.8009,-16.65000,,,
1993.8553,-13.25000,,,
1993.8824,-19.03000,,,
1993.9098,-19.51000,,,
1993.9367,-17.02000,,,
1993.9639,-9.32000,,,
1993.9907,-7.36000,,,
1994.0181,-15.97000,,,
1994.0452,-15.86000,,,
1994.0723,-17.37000,,,
1994.0995,-19.00000,,,
1994.1267,-17.45000,,,
1994.1539,-11.17000,,,
1994.1809,-10.52000,,,
1994.2353,-15.46000,,,
1994.2624,-13.13000,,,
1994.2896,-10.82000,,,
1994.3168,-8.02000,,,
1994.3439,-11.45000,,,
1994.3710,-15.95000,,,
1994.3982,-18.68000,,,
1994.4253,-15.49000,,,
1994.4524,-8.98000,,,
1994.5067,-15.61000,,,
1994.5339,-14.64000,,,
1994.5610,-17.67000,,,
1994.5882,-14.09000,,,
1994.6154,-11.74000,,,
1994.6425,-9.00000,,,
1994.6697,-11.90000,,,
1994.6968,-14.51000,,,
1994.7239,-17.31000,,,
1994.7510,-16.22000,,,
1994.7782,-14.56000,,,
1994.8054,-8.38000,,,
1994.8325,-9.96000,,,
1994.8868,-17.57000,,,
1994.9140,-17.72000,,,
1994.9412,-7.79000,,,
1994.9684,-6.79000,,,
1994.9955,-9.93000,,,
1995.0226,-12.77000,,,
1995.0497,-15.30000,,,
1995.0769,-7.04000,,,
1995.1040,-7.71000,,,
1995.1312,-9.09000,,,
1995.1583,-9.54000,,,
1995.2127,-8.33000,,,
1995.2398,-13.64000,,,
1995.2669,-8.00000,,,
1995.2941,-5.68000,,,
1995.3212,-9.37000,,,
1995.3755,-13.39000,,,
1995.4028,-9.92000,,,
1995.4298,-4.16000,,,
1995.4569,-7.18000,,,
1995.4841,-12.65000,,,
1995.5384,-16.79000,,,
1995.5655,-12.77000,,,
1995.5927,-10.24000,,,
1995.6199,-7.51000,,,
1995.6470,-12.79000,,,
1995.6740,-14.27000,,,
1995.7013,-11.56000,,,
1995.7285,-4.52000,,,
1995.7556,-7.57000,,,
1995.7827,-9.24000,,,
1995.8371,-13.60000,,,
1995.8643,-12.72000,,,
1995.8899,-8.45000,,,
1995.9456,-5.57000,,,
1995.9728,-6.16000,,,
1995.9998,-11.72000,,,
1996.0270,-13.49000,,,
1996.0533,-10.97000,,,
1996.0814,-5.82000,,,
1996.1084,-2.03000,,,
1996.1631,-8.51000,,,
1996.1899,-11.59000,,,
1996.2171,-8.21000,,,
1996.2442,-3.82000,,,
1996.2714,-6.87000,,,
1996.2985,-11.13000,,,
1996.3257,-11.11000,,,
1996.3529,-8.32000,,,
1996.3800,-5.32000,,,
1996.4071,-2.97000,,,
1996.4342,-5.54000,,,
1996.4886,-10.91000,,,
1996.5157,-8.72000,,,
1996.5429,-4.15000,,,
1996.5700,-0.18000,,,
1996.5972,-3.78000,,,
1996.6244,-10.38000,,,
1996.6515,-12.07000,,,
1996.6786,-13.94000,,,
1996.7053,-8.07000,,,
1996.7335,-1.94000,,,
1996.7600,-1.41000,,,
1996.8144,4.41000,,,
1996.8415,4.57000,,,
1996.8687,1.41000,,,
1996.8959,-4.81000,,,
1996.9230,-7.19000,,,
1996.9501,-9.94000,,,
1996.9770,-15.85000,,,
1997.0044,-11.70000,,,
1997.0316,-5.59000,,,
1997.0587,-5.79000,,,
1997.0858,-6.31000,,,
1997.1402,-10.09000,,,
1997.1673,-7.89000,,,
1997.1944,-6.18000,,,
1997.2216,-4.00000,,,
1997.2487,-5.70000,,,
1997.2759,-9.63000,,,
1997.3030,-12.08000,,,
1997.3302,-7.75000,,,
1997.3573,-2.06000,,,
1997.3844,-4.06000,,,
1997.4116,-3.62000,,,
1997.4659,-10.11000,,,
1997.4928,-4.86000,,,
1997.5202,-1.83000,,,
1997.5474,3.58000,,,
1997.5745,-2.10000,,,
1997.6288,-5.35000,,,
1997.6560,-2.85000,,,
1997.6830,0.29000,,,
1997.7103,3.36000,,,
1997.7374,-0.51000,,,
1997.7917,-4.07000,,,
1997.8189,-1.87000,,,
1997.8460,2.65000,,,
1997.8731,-2.65000,,,
1997.9001,-7.13000,,,
1997.9274,-9.68000,,,
1997.9546,-11.80000,,,
1997.9817,-5.41000,,,
1998.0083,-2.81000,,,
1998.0360,-0.92000,,,
1998.0903,-6.50000,,,
1998.1174,-6.28000,,,
1998.1446,-3.55000,,,
1998.1717,-1.27000,,,
1998.1989,-0.86000,,,
1998.2261,-4.09000,,,
1998.2532,-7.88000,,,
1998.2792,-6.01000,,,
1998.3075,-1.13000,,,
1998.3347,0.31000,,,
1998.3617,-2.79000,,,
1998.4158,-11.08000,,,
1998.4432,-8.70000,,,
1998.4704,-5.03000,,,
1998.4976,1.36000,,,
1998.5247,-0.36000,,,
1998.5518,-6.09000,,,
1998.6062,-6.60000,,,
1998.6333,-5.43000,,,
1998.6604,-2.73000,,,
1998.6876,-3.88000,,,
1998.7147,-10.86000,,,
1998.7419,-11.59000,,,
1998.7689,-10.35000,,,
1998.8234,-1.75000,,,
1998.8505,-5.36000,,,
1998.8775,-11.20000,,,
1998.9046,-16.24000,,,
1998.9319,-8.76000,,,
1998.9591,-6.67000,,,
1998.9862,-1.88000,,,
1999.0133,-4.89000,,,
1999.0405,-6.44000,,,
1999.0948,-9.10000,,,
1999.1256,6.34000,,,
1999.1491,1.59000,,,
1999.1763,-3.34000,,,
1999.2034,-8.65000,,,
1999.2306,-7.17000,,,
1999.2577,-4.55000,,,
1999.2848,-1.86000,,,
1999.3392,-4.12000,,,
1999.3663,-9.22000,,,
1999.3933,-11.34000,,,
1999.4206,-5.23000,,,
1999.4478,-6.19000,,,
1999.4749,-1.96000,,,
1999.5020,0.38000,,,
1999.5292,-4.99000,,,
1999.5566,-7.28000,,,
1999.5834,-2.34000,,,
1999.6106,-2.75000,,,
1999.6377,0.70000,,,
1999.6920,-7.43000,,,
1999.7192,-4.59000,,,
1999.7462,-4.25000,,,
1999.7735,3.44000,,,
1999.8008,2.45000,,,
1999.8278,-2.81000,,,
1999.8550,-8.96000,,,
1999.8822,-8.54000,,,
1999.9092,-4.44000,,,
1999.9636,4.46000,,,
1999.9907,3.94000,,,
2000.0178,-3.58000,,,
2000.0450,-2.57000,,,
2000.0721,4.92000,,,
2000.0993,2.89000,,,
2000.1264,1.05000,,,
2000.1536,-1.68000,,,
2000.1807,-6.23000,,,
2000.2078,-6.44000,,,
2000.2350,2.04000,,,
2000.2894,0.98000,,,
2000.3165,-4.63000,,,
2000.3436,-8.66000,,,
2000.3707,-7.66000,,,
2000.3978,-3.38000,,,
2000.4250,1.40000,,,
2000.4522,0.42000,,,
2000.4794,-2.80000,,,
2000.5065,-4.81000,,,
2000.5337,-2.03000,,,
2000.5879,-0.18000,,,
2000.6149,0.39000,,,
2000.6423,-2.59000,,,
2000.6694,-9.68000,,,
2000.6965,-6.69000,,,
2000.7235,1.71000,,,
2000.7509,5.78000,,,
2000.7780,4.15000,,,
2000.8051,-3.48000,,,
2000.8595,-2.95000,,,
2000.8860,0.80000,,,
2000.9145,3.71000,,,
2000.9409,2.39000,,,
2000.9681,-0.21000,,,
2000.9952,0.86000,,,
2001.0222,2.11000,,,
2001.0766,5.55000,,,
2001.1038,2.68000,,,
2001.1309,-3.80000,,,
2001.1581,-2.64000,,,
2001.1852,3.49000,,,
2001.2124,2.47000,,,
2001.2395,6.36000,,,
2001.2666,3.80000,,,
2001.2937,0.72000,,,
2001.3210,-3.07000,,,
2001.3482,-0.89000,,,
2001.3752,5.01000,,,
2001.4024,5.28000,,,
2001.4296,3.94000,,,
2001.4567,-0.98000,,,
2001.4840,4.35000,,,
2001.5110,6.80000,,,
2001.5381,10.92000,,,
2001.5653,7.44000,,,
2001.5924,8.08000,,,
2001.6195,0.22000,,,
2001.6468,-1.77000,,,
2001.6738,2.05000,,,
2001.7010,10.76000,,,
2001.7283,10.39000,,,
2001.7553,7.54000,,,
2001.7825,-0.34000,,,
2001.8096,-4.29000,,,
2001.8368,3.49000,,,
2001.8639,8.97000,,,
2001.8918,7.93000,,,
2001.9182,5.48000,,,
2001.9454,0.62000,,,
2001.9725,0.92000,,,
2001.9996,8.97000,,,
2002.0270,6.91000,,,
2002.0537,,0.54000,,
2002.0540,5.95000,,,
2002.0811,5.37000,,,
2002.0819,,7.27000,,
2002.1083,0.67000,8.74000,,
2002.1352,,9.56000,,
2002.1354,2.56000,,,
2002.1626,7.39000,8.71000,,
2002.1897,8.01000,,,
2002.1898,,2.90000,,
2002.2168,8.29000,,,
2002.2169,,4.67000,,
2002.2438,,3.46000,,
2002.2440,2.68000,,,
2002.2711,0.83000,,,
2002.2713,,8.30000,,
2002.2983,,4.02000,,
2002.2988,-2.73000,,,
2002.3254,4.09000,4.84000,,
2002.3525,,4.55000,,
2002.3527,8.07000,,,
2002.3797,8.17000,6.43000,,
2002.4069,6.23000,5.56000,,
2002.4340,-0.34000,3.00000,,
2002.4611,4.21000,6.40000,,
2002.4883,14.00000,8.93000,,
2002.5155,,6.64000,,
2002.5426,10.36000,8.84000,,
2002.5697,7.23000,11.02000,,
2002.5969,5.63000,11.21000,,
2002.6239,7.75000,,,
2002.6240,,11.64000,,
2002.6512,,8.39000,,
2002.6551,11.21000,,,
2002.6783,11.37000,,,
2002.6784,,6.13000,,
2002.7055,,5.95000,,
2002.7064,10.57000,,,
2002.7326,7.60000,,,
2002.7327,,8.43000,,
2002.7598,,6.56000,,
2002.7599,-0.81000,,,
