BBL,BldgArea,Energy (kBtu)
1003760058,65526,3977428.2
1003777503,107740,4826752.0
1003790027,92470,3606330.0
1003820001,453600,34881840.0
1003820100,553660,30285202.0
1003857501,51716,3920072.8
1003907502,73359,8986477.5
1003927501,64774,4903391.8
1003950009,127950,2712540.0
1003950012,100860,12708360.0
1003950022,149253,3283566.0
1003980008,55947,4201619.699999999
1004000001,79956,2174803.1999999997
1004000031,71334,4351374.0
1004100048,59000,9752700.0
1004107501,114397,11576976.4
1004120048,82411,18105696.7
1004120053,209499,19776705.6
1004177501,108513,12500697.6
1004207501,50737,7717097.699999999
1004257502,61963,14610875.4
1004260012,56344,12525271.200000001
1004260029,81900,5405400.0
1004277504,514093,50072658.2
1004300001,147730,14787773.0
1004310001,194800,19499480.0
1004310025,121406,8097780.2
1004310031,120605,9744884.0
1004320001,780062,78006200.0
1004417503,74269,6060350.399999999
1004430005,52497,1454166.9
1004517502,76583,5322518.5
1004520002,121503,9452933.4
1004520006,97896,7332410.4
1004530011,101800,10709360.0
1004530011,101800,6627179.999999999
1004550005,102314,38551915.2
1004567501,55583,4001976.0
1004570009,156365,14729583.0
1004600001,122689,8563692.2
1004650001,146583,10451367.9
1004667502,67227,2689080.0
1004670001,337600,37271040.0
1004670022,56845,4905723.5
1004670025,65602,4355972.800000001
1004670031,59225,4826837.5
1004680001,92304,4901342.4
1004690030,63158,6549484.600000001
1004697502,125097,14473722.9
1004697505,47724,3269094.0
1004697506,96581,3872898.1
1004737501,62435,6605623.0
1004747506,117024,9256598.399999999
1004760007,303214,20254695.2
1004770001,125235,9605524.5
1004770011,402110,42261761.0
1004810001,173838,12638022.6
1004817502,77174,6004137.2
1004830035,50285,2041571.0
1004840026,57486,3150232.8
1004897502,62753,2704654.3000000003
1004910046,182655,9534591.0
1004917502,60725,4432925.0
1004917503,284451,29895800.099999998
1004930041,184900,12647160.000000002
1004950002,54431,3227758.3
1004950011,63587,11483812.2
1004960036,56340,3909996.0000000005
1004980007,114488,18959212.8
1004990007,192471,7506369.0
1004997505,38310,2516967.0
1005010015,62362,3847735.4000000004
1005017501,55459,3177800.6999999997
1005050001,214110,18113706.0
1005060027,172836,13965148.799999999
1005067501,311477,32580494.2
1005100001,169961,12101223.200000001
1005107502,197207,12207113.299999999
1005127501,122539,10550607.899999999
1005150031,54600,3346980.0
1005157502,52461,5503158.9
1005160007,86018,4885822.399999999
1005190070,329116,20668484.8
1005200001,436629,37593756.9
1005210001,86746,8423036.6
1005210009,69300,3014550.0
1005210045,187368,10811133.6
1005217505,58788,2063458.8
1005220001,122200,11059100.0
1005220005,99470,10663184.0
1005230038,82483,10351616.5
1005240001,212832,17516073.599999998
1005240066,518647,2852558.5
1005257501,177431,16838201.900000002
1005257506,98134,9656385.6
1005270027,118467,10354015.8
1005280001,71490,8521608.0
1005280012,64260,13012650.0
1005287501,49579,3683719.6999999997
1005297501,92900,5834120.0
1005297508,61108,5994694.8
1005307505,71134,6330926.0
1005310001,59248,9604100.799999999
1005317501,156849,11810729.7
1005317504,45071,12304383.0
1005320008,307312,2519958.4
1005320015,159987,7119421.5
1005320020,196920,12228732.0
1005330001,1485916,24071839.2
1005330001,1485916,21991556.8
1005330001,1485916,26003530.0
1005350001,305900,5995640.0
1005350008,470400,0.0
1005350036,119170,1186766362.0
1005357501,323092,22034874.400000002
1005380040,232930,7127658.0
1005387501,91104,109324.8
1005390031,55800,4263120.0
1005400014,153348,690066.0
1005410001,202521,0.0
1005417501,141811,1432291.0999999999
1005420025,54924,4630093.2
1005440048,52192,5829846.4
1005440050,117391,22609506.599999998
1005440065,128300,13894890.0
1005447502,141946,20227305.0
1005450006,127143,1080715.5
1005450011,75165,6546871.5
1005450015,336645,12455865.0
1005450026,316832,29148544.0
1005450059,147773,40726238.800000004
1005457501,77249,9123106.9
1005457503,107106,8300715.0
1005460010,69800,3901820.0
1005460011,125450,526890.0
1005460015,115694,9822420.600000001
1005460026,56684,1983940.0
1005460031,54725,1472102.5
1005460040,85000,2694500.0
1005470005,53482,0.0
1005470008,91402,0.0
1005470020,71270,4475756.0
1005470030,366268,549402.0
1005470030,366268,7105599.199999999
1005480004,116237,1511081.0
1005480009,55224,4158367.1999999997
1005480028,100591,10531877.700000001
1005480040,78810,7392378.0
1005480045,102024,8498599.2
1005480070,489709,17531582.2
1005487501,512503,47150276.0
1005500022,238923,21885346.799999997
1005510001,469263,30549021.299999997
1005520024,179800,3470140.0
1005520026,110447,1921777.7999999998
1005520060,128601,1273149.9000000001
1005520062,60583,5125321.8
1005527501,57826,5314209.4
1005530001,6400,1175680.0
1005537501,55113,10206927.6
1005540001,940000,73602000.0
1005540035,385831,34917705.5
1005550001,651391,51329610.8
1005560001,163665,16939327.5
1005560044,156650,14364805.0
1005577501,28337,5083657.8
1005580037,58578,6865341.600000001
1005587501,49895,3213238.0000000005
1005587502,88911,8526564.9
1005587503,60410,6506157.0
1005590022,446076,40726738.8
1005590055,108817,3231864.9
1005597501,88971,6219072.9
1005607501,199654,19326507.2
1005607502,202428,19736730.0
1005607503,204426,28987606.8
1005610014,160896,12710784.0
1005610045,98609,10491997.600000001
1005617501,247908,16585045.200000001
1005617502,127932,8699376.0
1005620001,182200,15851400.0
1005620030,135910,7040138.0
1005640001,65926,6289340.4
1005640034,132000,8817600.0
1005640039,56827,4199515.300000001
1005640045,88211,9950200.799999999
1005640054,135315,9350266.5
1005650011,262576,49731894.4
1005660001,392071,51400508.1
1005660018,420000,34314000.0
1005670007,65028,5579402.399999999
1005677501,92481,7842388.8
1005680001,141091,8423132.700000001
1005680004,62409,5791555.2
1005680006,95117,7980316.300000001
1005690005,121128,7413033.600000001
1005697501,58702,9938248.600000001
1005697503,56541,4585475.1
1005700042,125588,10825685.6
1005707501,262814,25860897.6
1005710025,59299,7442024.5
1005717501,79238,7559305.2
1005717502,109696,8830528.0
1005730039,168806,9841389.799999999
1005730043,269119,26023807.3
1005730075,56527,3945584.5999999996
1005737502,107650,9849975.0
1005740039,141877,14272826.2
1005740067,77829,2280389.7
1005750017,120467,13540490.8
1005750057,51113,4211711.2
1005760001,131126,11106372.200000001
1005760025,235875,17407575.0
1005760036,116962,7766276.800000001
